date_from,date_to,area_m2,mean_delta_db,zone_id,zone_name,change_type
20250411,20250411,14100.0,0.015,0,Outside,Background_Change
20250411,20250411,13300.0,0.011,0,Outside,Background_Change
20250411,20250411,15700.0,0.018,0,Outside,Background_Change
20250411,20250411,13900.0,0.021,0,Outside,Background_Change
20250411,20250411,21400.0,0.019,0,Outside,Background_Change
20250411,20250411,28600.0,0.011,0,Outside,Background_Change
20250411,20250411,13500.0,0.016,0,Outside,Background_Change
20250411,20250411,10600.0,0.018,0,Outside,Background_Change
20250411,20250411,10300.0,0.019,0,Outside,Background_Change
20250411,20250411,29600.0,0.023,0,Outside,Background_Change
20250411,20250411,10400.0,0.021,0,Outside,Background_Change
20250411,20250411,17900.0,0.018,0,Outside,Background_Change
20250411,20250411,15500.0,0.036,0,Outside,Background_Change
20250411,20250411,13800.0,0.029,0,Outside,Background_Change
20250411,20250411,18500.0,0.026,0,Outside,Background_Change
20250411,20250411,14900.0,0.019,0,Outside,Background_Change
20250411,20250411,40300.0,0.019,0,Outside,Background_Change
20250411,20250411,19200.0,0.017,0,Outside,Background_Change
20250411,20250411,10100.0,0.017,0,Outside,Background_Change
20250411,20250411,12000.0,0.017,0,Outside,Background_Change
20250411,20250411,13400.0,0.021,0,Outside,Background_Change
20250411,20250411,11100.0,0.018,0,Outside,Background_Change
20250411,20250411,11600.0,0.023,0,Outside,Background_Change
20250411,20250411,12000.0,0.025,0,Outside,Background_Change
20250411,20250411,15400.0,0.021,0,Outside,Background_Change
20250411,20250411,15700.0,0.041,0,Outside,Background_Change
20250411,20250411,25100.0,0.031,0,Outside,Background_Change
20250411,20250411,12100.0,0.011,0,Outside,Background_Change
20250411,20250411,11100.0,0.012,0,Outside,Background_Change
20250411,20250411,17600.0,0.023,0,Outside,Background_Change
20250411,20250411,10900.0,0.025,0,Outside,Background_Change
20250411,20250411,10800.0,0.025,0,Outside,Background_Change
20250411,20250411,11500.0,0.018,0,Outside,Background_Change
20250411,20250411,33400.0,0.03,0,Outside,Background_Change
20250411,20250411,93700.0,0.032,0,Outside,Background_Change
20250411,20250411,23000.0,0.011,0,Outside,Background_Change
20250411,20250411,18700.0,0.017,0,Outside,Background_Change
20250411,20250411,10900.0,0.023,0,Outside,Background_Change
20250411,20250411,17200.0,0.017,0,Outside,Background_Change
20250411,20250411,11300.0,0.023,0,Outside,Background_Change
20250411,20250411,11200.0,0.017,0,Outside,Background_Change
20250411,20250411,14000.0,0.029,0,Outside,Background_Change
20250411,20250411,22200.0,0.018,0,Outside,Background_Change
20250411,20250411,10900.0,0.011,0,Outside,Background_Change
20250411,20250411,11300.0,0.018,0,Outside,Background_Change
20250411,20250411,13200.0,0.012,0,Outside,Background_Change
20250411,20250411,10400.0,0.011,0,Outside,Background_Change
20250411,20250411,22500.0,0.028,0,Outside,Background_Change
20250411,20250411,18100.0,0.015,0,Outside,Background_Change
20250411,20250411,11800.0,0.011,0,Outside,Background_Change
20250411,20250411,10400.0,0.014,0,Outside,Background_Change
20250411,20250411,11900.0,0.023,0,Outside,Background_Change
20250411,20250411,18900.0,0.013,0,Outside,Background_Change
20250411,20250411,13400.0,0.017,0,Outside,Background_Change
20250411,20250411,12600.0,0.024,0,Outside,Background_Change
20250411,20250411,30900.0,0.015,0,Outside,Background_Change
20250411,20250411,40500.0,0.016,0,Outside,Background_Change
20250411,20250411,13900.0,0.009,0,Outside,Background_Change
20250411,20250411,12700.0,0.021,0,Outside,Background_Change
20250411,20250411,11300.0,0.015,0,Outside,Background_Change
20250411,20250411,13600.0,0.017,0,Outside,Background_Change
20250411,20250411,14600.0,0.03,0,Outside,Background_Change
20250411,20250411,33300.0,0.02,0,Outside,Background_Change
20250411,20250411,11100.0,0.018,0,Outside,Background_Change
20250411,20250411,10800.0,0.009,0,Outside,Background_Change
20250411,20250411,13900.0,0.018,0,Outside,Background_Change
20250411,20250411,12700.0,0.017,0,Outside,Background_Change
20250411,20250411,16000.0,0.041,0,Outside,Background_Change
20250411,20250411,12500.0,0.015,0,Outside,Background_Change
20250411,20250411,12800.0,0.016,0,Outside,Background_Change
20250411,20250411,41300.0,0.015,0,Outside,Background_Change
